CODISTR        	DESCRIZ                            	GIACONT	 PROGCAR	 PROGSCA	GIADIN	     COSTO	  PREZZO_1	ULTVEN  	ULTCAR  	CODICE	   SCMIN
VED47020051    	LAVATRICE KLEIN                    	      4	       0	       3	     1	     15.73	     33.05	30/07/02	14/12/01	V353  	47020051
VED47030102    	FERRO STIRO EL.                    	      4	       0	       0	     4	      8.50	     19.57	  /  /  	29/09/01	B184  	47030102
VED47035058    	FOLLETTO                           	      0	       1	       1	     0	     19.68	     39.90	09/08/02	21/06/02	V589  	47035058
VED47040221    	CUCINA ELETTR.FUNZIONANTE          	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V673  	47040221
VED47040329    	CUCINA LEGNO                       	      2	       1	       2	     1	     59.58	    124.90	22/04/02	01/06/02	B186  	47040329
VED47045151    	CUCINA LEGNO PICCOLA               	      0	       1	       0	     1	     13.65	     28.50	  /  /  	01/06/02	V112  	47045151
VED47140021    	PENTOLE ACCIAIO X COTTURA VAPORE   	      0	       2	       0	     2	      7.12	     15.50	  /  /  	21/06/02	V564  	47140021
VED47140048    	PENTOLA C/COPERCHIO ACCIAIO        	      0	       2	       0	     2	      5.36	     11.50	  /  /  	01/06/02	V129  	47140048
VED47140170    	PADELLA 12 CM.ACCIAIO BASSA        	      0	       2	       0	     2	      2.91	      6.40	  /  /  	01/06/02	V131  	47140170
VED47145023    	PADELLA ALLUMINIO 14 CM.           	      0	       0	       0	     0	      0.00	      8.20	  /  /  	  /  /  	V146  	47145023
VED47310024    	SET PASTICCERIA BL.                	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V674  	47310024
VED47340071    	FORMINE CUCINA                     	      3	       0	       0	     3	      3.37	      6.97	14/11/01	01/08/01	B192  	47340071
VED47390141    	SET PRESINE FORNO+GREMBIULE        	      3	       0	       1	     2	      4.37	     11.31	22/02/02	29/09/01	B502  	47390141
VED47410207    	SET CAFFE' C/VASSOIO+UOVA          	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V675  	47410207
VED47441641    	ZUCCHERO FILATO EL.                	      1	       0	       1	     0	     25.23	     61.46	15/04/02	04/12/01	E532  	47441641
VED47450055    	SERVIZIO CAFFE' PROCELLANA         	      0	       2	       0	     2	      2.44	      0.00	  /  /  	01/06/02	V369  	47450055
VED47525144    	ASSE STIRO                         	      6	       0	       1	     5	      6.54	     14.93	08/01/02	29/09/01	B229  	47525144
VED49020066    	SDRAIO LEGNO                       	      0	      10	       8	     2	      8.27	     16.99	04/07/02	21/06/02	S936  	49020066
VED49070161    	TAVOLO LEGNO+2 SEDIE + PANCA       	      3	       0	       1	     2	     36.37	     82.12	17/07/02	29/09/01	P659  	49070161
VED49425562    	METRO LEGNO                        	      1	       0	       1	     0	      6.38	     12.65	15/02/02	07/11/01	P397  	49425562
VED50070581    	BAMBOLE LISSI CM.53                	      0	       0	       0	     0	     10.77	     22.67	19/12/01	04/12/01	V182  	50070581
VED50591191    	PASSEGGINO OMBRELLO BABY BORN      	      0	       3	       2	     1	     11.08	     25.90	01/09/02	01/06/02	V160  	50591191
VED50591492    	VESTITI BABY BORN                  	      0	       4	       1	     3	      7.65	     17.90	09/07/02	01/06/02	V211  	50591492
VED50911918    	POPPY POCKET PARRUCHHIERE MATTEL   	      0	       4	       4	     0	     10.00	     19.90	15/05/02	28/02/02	B318  	50911918
VED55010234    	CESTA VIMINI X BAMBOLA 45 CM.      	      5	       0	       1	     4	      6.30	     14.46	23/02/02	05/06/01	V683  	55010234
VED55131015    	CARROZZINA CULLA VIMINI QUADRETTI  	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V693  	55131015
VED55180415    	PASSEGGINO MIDOLLINO               	      1	       0	       0	     1	     31.39	     72.25	27/11/01	04/12/01	V692  	55180415
VED55202028    	CARROZZINA COMBI RONDO BLU         	      0	       2	       2	     0	     27.43	     58.90	22/06/02	01/06/02	V366  	55202028
VED55203008    	CARROZZINA COMBI PICCOLA 63CM.LISSI	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V695  	55203008
VED55204047    	CARROZZINA COMBI SCOZZ.BEIGE       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V697  	55204047
VED55212058    	CARROZZINA COMBI MAGIC             	      1	       1	       2	     0	     32.91	     72.00	31/05/02	08/02/02	B148  	55212058
VED55310122    	PASSEGGINO OMBRELLO                	      0	      12	       5	     7	      4.69	     11.90	01/09/02	21/06/02	V570  	55310122
VED55310131    	PASSEGGINO OMBRELLO GEMELLARE      	      0	       1	       0	     1	      9.39	     19.50	  /  /  	01/06/02	V232  	55310131
VED55330166    	PASSEGGINO 3 RUOTE                 	      0	       0	       0	     0	     24.38	     51.59	18/12/01	14/12/01	V540  	55330166
VED55330361    	PASSEGGINO 3 RUOTE ROSSO           	      0	       1	       0	     1	     22.03	     44.90	  /  /  	21/06/02	V587  	55330361
VED55520119    	NENUCO PFLEGEKOFFER                	      0	       6	       2	     4	      7.60	     16.50	04/07/02	01/06/02	V234  	55520119
VED55870128    	PORTABAMBOLA VETRINA TELESC.25 CM. 	     12	       0	       0	    12	      2.00	      4.65	  /  /  	29/09/01	D497  	55870128
VED57220074    	CENERENTOLA                        	      0	       2	       1	     1	      8.78	     17.50	18/03/02	28/02/02	B327  	57220074
VED57220210    	CENERENTOLA                        	      0	       4	       3	     1	     11.78	     23.95	22/06/02	21/06/02	B337  	57220210
VED57220392    	PRINCIPE CENERENTOLA               	      0	       1	       1	     0	     10.08	     19.50	27/04/02	28/02/02	B308  	57220392
VED57220562    	SIRENETTTA                         	      0	       2	       2	     0	     11.38	     12.50	20/03/02	28/02/02	B309  	57220562
VED58020966    	PEL.LEPRE 30 CM.                   	      1	       0	       1	     0	      4.69	     12.14	01/09/02	29/09/01	F451  	58020966
VED58020974    	PECORA IN PIEDI 30 CM.             	      1	       0	       1	     0	      6.92	     16.53	02/03/02	29/09/01	F464  	58020974
VED58221201    	ORSO BIANCO MORBIDO PI 20 CM.      	      2	       0	       2	     0	      6.48	     15.24	09/03/02	07/11/01	F323  	58221201
VED58230227    	ORSO GOLD 38 CM.                   	      0	       2	       2	     0	     14.35	     31.50	01/09/02	01/06/02	F018  	58230227
VED58230405    	ORSO BIANCO MORBIDO PI 30 CM.      	      0	       0	       0	     0	      8.18	     20.40	09/12/01	07/11/01	F326  	58230405
VED58231703    	COPPIA ORSI C/PAPERA               	      0	       1	       0	     1	     17.22	     35.90	  /  /  	21/06/02	F400  	58231703
VED58250091    	ORSO GOLD 50 CM.                   	      0	       4	       0	     4	     18.00	     39.50	  /  /  	21/06/02	F030  	58250091
VED58290238    	ORSO PELO CM.100                   	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F417  	58290238
VED58420786    	GOLDEN RETRIEVER 24 CM.            	      1	       0	       0	     1	     13.25	     30.47	06/10/01	05/06/01	F469  	58420786
VED58440264    	GATTO MORBIDO 40 CM.               	      0	       2	       2	     0	     11.09	     25.90	27/08/02	21/06/02	F403  	58440264
VED58510874    	ANIMALI PELO C/VOCE                	      0	      18	      16	     2	      3.48	      6.90	21/08/02	01/06/02	F118  	58510874
VED58511404    	RICCIO 15 CM.                      	      7	       0	       1	     6	      2.72	      8.73	26/03/02	29/09/01	F471  	58511404
VED58550001    	CAVALLO PELO                       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F418  	58550001
VED58590045    	CAVALLO PELO CM.100                	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F423  	58590045
VED58620220    	LEONCINO PELO                      	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F425  	58620220
VED58630926    	CANGURO 30 CM.                     	      0	       2	       1	     1	      9.47	     24.50	27/06/02	01/06/02	F482  	58630926
VED58640786    	ELEFANTE 45 CM.                    	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F430  	58640786
VED58660272    	COCCODRILLO 60 CM.                 	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F433  	58660272
VED58680176    	SERPENTE PELO CM.170               	      0	       0	       0	     0	     13.67	     30.99	27/12/01	05/06/01	F500  	58680176
VED58910007    	TESTA CAVALLO CON BASTONE          	      1	       0	       0	     1	     11.66	     25.31	09/12/01	07/11/01	P400  	58910007
VED58920045    	CAVALLO DONDOLO LEGNO              	      0	       1	       0	     1	     24.77	     49.90	18/08/01	01/06/02	P042  	58920045
VED58920240    	CAV.DONDOLO FAGGIO                 	      3	       1	       1	     3	     32.36	     61.46	16/07/02	01/06/02	P464  	58920240
VED58920258    	CAVALLO DONDOLO LEGNO              	      0	       1	       0	     1	     31.54	     65.90	  /  /  	01/06/02	P005  	58920258
VED58960136    	CAVALLO PELO SU RUOTE              	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	F437  	58960136
VED59133446    	ORSO PELO 28 CM.KRUEMEL            	      0	       3	       2	     1	      7.86	     15.95	29/06/02	01/06/02	D273  	59133446
VED60320063    	PUZZLE LEGNO PI                    	      0	       0	       0	     0	      2.09	      6.20	24/12/01	07/11/01	G660  	60320063
VED60320322    	PUZZLE LEGNO                       	      2	       0	       0	     2	      5.64	     12.34	  /  /  	10/09/01	P251  	60320322
VED60320551    	PUZZLE LEGNO                       	      0	       0	       0	     0	      5.15	     11.36	03/11/01	10/09/01	P259  	60320551
VED60420050    	GIOCO DEL 15 PLASTICA PUSSY        	      1	       0	       0	     1	     25.11	      2.32	  /  /  	10/09/01	G277  	60420050
VED60510172    	DOMINO VALIGETTA NERA              	      1	       2	       3	     0	      5.20	     12.50	20/04/02	28/02/02	G738  	60510172
VED60520101    	DOMINO LEGNO                       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G900  	60520101
VED60530092    	DOMINO TRINGOLARE                  	      1	       0	       0	     1	      7.36	     18.02	08/12/01	10/09/01	G287  	60530092
VED60540870    	GIOCO MEMO QUADRI ARTE             	      1	       0	       0	     1	      8.27	     18.08	09/03/02	05/07/01	G657  	60540870
VED60570183    	DOMINO LEGNO                       	      3	       0	       2	     1	      2.44	      6.66	08/02/02	10/09/01	G296  	60570183
VED60680281    	GALLINA GIOCO SOCIETA'             	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G901  	60680281
VED60680370    	GOLF MASTER                        	      1	       0	       0	     1	      7.15	     16.53	20/12/01	10/09/01	G310  	60680370
VED60681872    	JENGA LEGNO                        	      3	       0	       4	    -1	      3.41	      7.49	03/05/02	05/07/01	G177  	60681872
VED60841276    	ELECTRO QUIZ                       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G904  	60841276
VED61011013    	DAMA CINESE                        	      0	       0	       0	     0	      6.33	     15.44	11/12/01	04/12/01	G772  	61011013
VED61020047    	BACKGAMMON 33*24 CM                	      1	       0	       0	     1	     12.53	     28.41	19/12/01	29/09/01	G462  	61020047
VED61020101    	BACKGAMMON NERO 38*24 CM.          	      2	       0	       0	     2	     13.45	     33.57	  /  /  	29/09/01	G243  	61020101
VED61020136    	BACKGAMMON                         	      1	       0	       1	     0	     24.51	     51.13	16/03/02	10/09/01	G325  	61020136
VED61021086    	BACKGAMMON LEGNO                   	      1	       0	       0	     1	     22.79	     49.06	21/12/01	10/09/01	G186  	61021086
VED61211624    	SCACCHI 63 MM.                     	      0	       1	       0	     1	     10.66	     23.90	  /  /  	01/06/02	G648  	61211624
VED61212353    	SCAT.SCACCHI TEAK 76 MM            	      0	       0	       0	     0	     13.21	     28.41	28/07/01	05/06/01	G739  	61212353
VED61250042    	SCACCHIERA PIEGHEVOLE              	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G905  	61250042
VED61250107    	SCACCHIERA LEGNO PIEGHEVOLE        	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G908  	61250107
VED61375732    	PUZZLE K.ANDERS.                   	     19	       0	       2	    17	      3.59	      8.26	23/03/02	10/09/01	G339  	61375732
VED61440208    	LABIRINTO LEGNO 32*29*10           	      0	       4	       3	     1	      8.58	     17.00	10/06/02	01/06/02	G249  	61440208
VED61441000    	SOLITARIO LEGNO                    	      0	       2	       1	     1	      6.33	     14.90	22/02/02	08/02/02	G164  	61441000
VED61530037    	ROULETTE                           	      1	       0	       1	     0	     14.60	     33.57	15/02/02	10/09/01	G362  	61530037
VED61530096    	ROULETTE 25 CM. C/FICHES           	      0	       0	       0	     0	     13.27	     25.56	21/12/01	05/06/01	G741  	61530096
VED63230758    	PLAY DOH BOB L'AGGIUSTATUTTO       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G909  	63230758
VED63230847    	CONFEZIONE PONGO PLASTILINA        	      2	       0	       2	     0	      3.33	     10.28	30/01/02	10/09/01	G755  	63230847
VED63310174    	SET COLORI DITA                    	      0	       4	       3	     1	      5.55	     11.90	19/07/02	01/06/02	G664  	63310174
VED63340278    	BLOPENSET                          	      0	       2	       2	     0	      7.65	     16.50	19/07/02	21/06/02	G865  	63340278
VED63340286    	10 BLOPENS                         	      0	       4	       4	     0	      4.86	     10.50	09/07/02	21/06/02	G868  	63340286
VED63340294    	5 BLOPNES                          	      0	      12	       4	     8	      2.54	      5.50	09/08/02	21/06/02	G869  	63340294
VED63340308    	5 BLOPENS KRAEFTG                  	      0	      12	       4	     8	      2.54	      5.50	02/09/02	21/06/02	G872  	63340308
VED63350010    	FISHER MAGNA DOOODLE COLOR         	      0	       5	       3	     2	     24.21	     44.90	19/07/02	01/06/02	P517  	63350010
VED63350281    	SPIROGRAPH                         	      0	       2	       2	     0	     11.49	     24.50	07/06/02	01/06/02	G797  	63350281
VED63360104    	CNF.BLOPENS 5 PZ.SOFFIO            	      0	       0	       0	     0	      2.19	      6.20	13/11/01	05/06/01	G756  	63360104
VED63360171    	TROTTOLE DOODLE TOP                	      9	       0	       8	     1	      1.30	      3.10	16/05/02	10/09/01	D371  	63360171
VED63510297    	TELAIO LEGNO X LANA                	      4	       0	       4	     0	      6.88	     18.02	09/07/02	10/09/01	B224  	63510297
VED63530018    	TELAIO PER PERLINE ECO             	      0	       6	       5	     1	      5.29	     12.50	25/06/02	21/06/02	G763  	63530018
VED63590100    	CONFEZIONE 54 PERLINE              	      1	       0	       0	     1	     25.43	      1.29	  /  /  	05/07/01	D126  	63590100
VED63590177    	CNF.PERLE LEGNO                    	     10	       0	       2	     8	      3.08	      6.97	06/04/02	10/09/01	D380  	63590177
VED63600083    	DIPINGI C/I NUMERI                 	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G910  	63600083
VED63630179    	RICAMBI X DECORO JEANS             	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G912  	63630179
VED63630187    	DECORO JEANS C/ACCESSORI           	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G913  	63630187
VED63630446    	TIP COSTRUZIONE L.                 	      3	       0	       1	     2	      6.17	     13.89	05/01/02	05/06/01	D833  	63630446
VED63630454    	COSTRUZIONE TIP XL                 	      0	       0	       0	     0	      9.37	     20.40	20/12/01	10/09/01	D382  	63630454
VED63630799    	SET DECORO JEANS                   	      1	       0	       0	     1	     11.57	     24.22	12/12/01	29/09/01	D384  	63630799
VED63650021    	QUADRO ARGENTATO CON PENNINO       	      7	      16	       7	    16	      2.74	      6.20	29/05/02	01/06/02	D396  	63650021
VED63740039    	CNF.PERLE LEGNO                    	      0	       0	       0	     0	      7.71	     18.02	09/11/01	29/09/01	D834  	63740039
VED63790133    	PERILINE HAMA WTP                  	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G915  	63790133
VED64010191    	SCACCHIERA EL.CENTURION KASPAROV   	      0	       2	       1	     1	     65.10	    149.50	28/02/02	20/01/02	E007  	64010191
VED64190571    	CNF.GB ACCESSORI BAME BOY          	      3	       0	       1	     2	     13.69	     28.41	25/05/02	07/11/01	E262  	64190571
VED64190598    	ACCESS.GAME BOY LENTE              	      4	       0	       2	     2	      3.14	     12.39	09/01/02	07/11/01	E263  	64190598
VED64190733    	N64 MEMORY CARD 1 MEGA             	      0	       0	       0	     0	      4.03	     11.36	22/10/01	05/06/01	E863  	64190733
VED64191179    	BORSA PER GBA                      	      0	       0	       0	     0	      5.36	     12.39	18/12/01	07/11/01	E771  	64191179
VED64191357    	GBA PROTECTOR                      	      2	       0	       0	     2	      6.22	     12.91	21/12/01	15/11/01	E821  	64191357
VED64191519    	GBA STEREO RADIO                   	      0	       0	       0	     0	      6.22	     14.20	12/12/01	07/11/01	E820  	64191519
VED64191691    	PORTA CASSETTE GBA                 	      0	       4	       4	     0	      1.96	      4.50	17/08/02	20/01/02	E776  	64191691
