CODISTR        	DESCRIZ                            	GIACONT	 PROGCAR	 PROGSCA	GIADIN	     COSTO	  PREZZO_1	ULTVEN  	ULTCAR  	CODICE	   SCMIN
BAU5023        	TAVOLO+SEDIA+PANCA                 	      2	       0	       0	     2	     24.85	     56.81	  /  /  	10/09/01	P244  	49000090
BAY19585       	CARROZZINA COMBI 80 CM.            	      3	       0	       1	     2	     61.31	    123.43	05/01/02	29/09/01	V690  	55214018
BIG0717        	TRATTORE C/PALA BIG JOHN           	      1	       0	       1	     0	     59.13	    118.27	30/03/02	07/11/01	S859  	70474034
BIO83401       	CAMERA BAMBINI C/ACCESS.           	      0	       0	       0	     0	      6.12	     14.72	18/12/01	05/06/01	V614  	46270029
BIO83402       	BAGNO X CASA BAMBOLA C/ACC.        	      0	       0	       0	     0	      4.96	     12.14	18/12/01	05/06/01	V615  	46270045
BIO83404       	CAMERA LETTO LEGNO C/ACC.X CASA BA.	      1	       0	       0	     1	      6.12	     14.72	  /  /  	05/06/01	V608  	46260007
BIO83405       	CUCINA C/ACC.X CASA BAMB.          	      0	       0	       0	     0	      6.12	     14.72	18/12/01	05/06/01	V612  	46260040
BIO83540       	FAMIGLIA COMP.X CASA BAMB.4 PERSON 	      0	       0	       0	     0	      3.37	      7.70	01/12/01	10/09/01	V605  	46190785
BLZ52210       	TROTTOLA 23 CM.ORSI+LEPRE          	      3	       0	       3	     0	      7.86	     17.56	08/03/02	10/09/01	P661  	68230004
BLZ52310       	TROTTOLA MET.WTP MUSICALE          	      1	       0	       1	     0	      5.43	     12.39	02/02/02	07/11/01	P197  	68220084
BLZ52720       	SCATOLE MUSICALI                   	      5	       0	       4	     1	      2.05	      5.68	22/03/02	29/09/01	D510  	68211026
CHI68478       	SCIVOLO CAROTA                     	      0	       2	       2	     0	     28.09	     59.90	26/07/02	28/03/02	S537  	71691144
CLE31403       	PUZZLE 1000 PZ.WEELTGER            	      0	       0	       0	     0	      6.31	     14.20	16/10/01	05/07/01	G053  	61380345
CLE31411       	PUZZLE 1000 PZ.FEMME A L'OMBRE     	      0	       0	       0	     0	      6.31	     14.20	22/12/01	05/07/01	G080  	61380353
CLE31413       	PUZZLE 1000PZ.MONNA LISA           	      1	       0	       0	     1	      6.31	     14.20	21/12/01	05/07/01	G097  	61380361
CLE31415       	PUZZLE 1000 PZ.VASO FIORI          	      1	       0	       0	     1	      6.31	     14.20	  /  /  	05/07/01	G106  	61380370
CLE31418       	PUZZLE 1000 PZ.VERMER LA MERLETTAIA	      1	       0	       0	     1	      6.18	     14.20	  /  /  	01/08/01	G337  	61380388
CLE31426       	PUZZLE 1000PZ MIRO ARLECCHINO      	      0	       0	       0	     0	      6.31	     14.20	20/12/01	05/07/01	G129  	61380493
CLE31427       	PUZZLE 1000PZ.DALI ONE SEC         	      0	       0	       0	     0	      6.31	     14.20	27/12/01	05/07/01	G132  	61380507
DOM55403       	BATTERIA                           	      1	       0	       0	     1	     25.83	     59.39	14/12/01	10/09/01	C819  	68740029
EIC4319        	FATTORIA 2 P.GROSSA                	      5	       0	       1	     4	     22.50	     50.61	27/02/02	07/11/01	P653  	43000161
GEU2932        	CAVALLLO DONDOLO HALLA C/SEGGIOLINO	      0	       0	       0	     0	     46.00	    102.77	22/12/01	29/09/01	P572  	58920037
GEU2952NA      	CAVALLO DONDOLO LEGNO BASCULANTE   	      2	       0	       1	     1	     60.85	    128.60	20/08/02	14/12/01	P320  	58960101
GLU30078       	BIDONCINO X LATTE 14 CM.ALL.       	      0	       0	       0	     0	      4.88	     11.10	12/11/01	05/06/01	V647  	47265037
GLU30104       	PENTOLA 12 CM.ALL.                 	      1	       2	       1	     2	      4.23	      9.50	12/02/02	01/06/02	V627  	47140013
GLU30114       	PENTOLA C/MANICO CM.12 ALLUM.      	      0	       2	       0	     2	      5.06	     11.00	11/12/01	01/06/02	V644  	47140129
GLU30124       	PADELLA ALL. CM.14                 	      1	       2	       0	     3	      3.59	      9.24	08/09/01	01/06/02	V646  	47145023
GOE0165026     	MAXIMUFFIN                         	      0	       0	       0	     0	     15.70	     32.02	17/12/01	14/12/01	B142  	50150402
GOE0165027     	MAXYMUFFIN 42 CM.                  	      0	       0	       0	     0	     15.70	     33.57	26/10/01	29/09/01	V681  	50150411
GOE15120       	BAMBOLA MEG BLU 33 CM.             	      0	       0	       0	     0	     23.55	     46.43	17/12/01	29/09/01	V678  	50130053
GOE15820       	BAMBOLA LOLLY GIALLA 33 CM.        	      0	       0	       0	     0	     23.55	     46.43	07/12/01	29/09/01	V680  	50139026
GOW00421.3     	NAVE C/SECCHI.E ACCESS.SABBIA 30 CM	      0	       4	       4	     0	      2.10	      5.90	22/06/02	28/02/02	S374  	71140016
GOW00460.2     	MULINELLO SABBIA C/SECCHIELLO      	      0	      11	       6	     5	      3.68	      8.50	28/06/02	21/06/02	S354  	71110214
GOW00615.6     	RASTRELLO 36 CM.                   	      0	      18	       5	    13	      0.70	      1.80	18/04/02	21/06/02	S399  	71261255
GOW00616.3     	2 PALETTE LUNGHE SABBIA            	      0	       8	       7	     1	      0.65	      1.70	26/06/02	28/02/02	S390  	71220630
GOW00621.7     	RASTRELLO SABBIA 63 CM.            	      0	       2	       2	     0	      2.20	      5.70	28/02/02	28/02/02	S396  	71261077
GOW00622.4     	PALETTA 68 CM. SABBIA              	      0	       4	       4	     0	      2.01	      4.90	17/06/02	28/02/02	S380  	71210138
GOW00652.1     	MULINELLO SABBIA GRANDE            	      0	      14	      10	     4	      3.67	      8.90	17/08/02	21/06/02	S378  	71160009
GOW00667.5     	2 RASTRELLI PICCOLI                	      0	      24	       7	    17	      0.47	      1.20	01/09/02	21/06/02	S393  	71261026
GOW00668.2     	2 PALETTE SABBIA                   	      0	      44	      35	     9	      0.47	      1.20	01/09/02	21/06/02	S382  	71220168
