"NOR","NORMANDY SPORT GIR","FR"
"SCI","SHIPPER",""
"RLL","ROLLET",""
"FIL","FILA",""
"MAH","MANHATTAN TOY",""
"FRA","FRADECOM",""
"TUC","TUCHER & WALTER",""
"KSG","KSG ENGL.",""
"DEF","DEFRANCHIS",""
"KID","KIDICRAFT",""
"WAR","WARNER BROS",""
"EDE","EDELWAISS",""
"ROE","ROEHLER",""
"SUM","SUMMCO",""
"WAL","WALT DISNEY",""
"CEA","CEACO",""
"BNA","BONA DISTRIBUZIONE",""
"TOO","TOOTSY",""
"ICO","ICOLO'",""
"JOR","JORDAN",""
"BND","BANDAI",""
"MAA","MAARPLAY",""
"MPC","MPC GIEFFECI",""
"MTT","MATPLAST",""
"STR","STRATELIBRI",""
"EUP","EUROPLAY",""
"SIF","SOC.ITAL.FR.",""
"ALI","ALIVE",""
"ZEB","BLU ZEBRA",""
"PIU","PIU TRE",""
"BOA","BOSUN BOATS",""
"MIL","MILTO",""
"ITL","ITALTRIKE INT.",""
"ALT","ALTHANS",""
"AGO","AGOSTINI",""
"NWP","NEWPLAST",""
"PLL","PLASLENA",""
"JUA","JUMACO",""
"LAC","LA CARTERIE",""
"ASA","ASAHI",""
"SCR","SCHROEDEL",""
"LRZ","LORENZ",""
"ISC","ISAC",""
"MIM","MATTEL IMPORT.",""
"ITO","ITALOCREMONA",""
"CDV","CD VERTE",""
"FIG","FIGURAS HISTOR.",""
"GDO","GR.DISTR.ORG.",""
"EUL","EUROLINE",""
"BOL","BOLZ",""
"ARV","ARIVIVIS",""
"AQU","AQUA",""
"SAF","SAFARI",""
"IGE","IGEL",""
"WAD","WADER",""
"HON","HONEY KIDS",""
"TAN","TANNER",""
"MCF","MCF",""
"DLB","DALBERT",""
"YAT","YAT MING",""
"MDR","MDR",""
"ELK","ELKA",""
"FEL","FELLINGER",""
"HAN","HANKY PANKY",""
"ARB","L'ARBRE A JOUER",""
"KNE","K'NEX",""
"CER","CERRI GIOC.",""
"OAS","OASIS",""
"HIS","HISTORIE D'OURS",""
"BLZ","BOLZ",""
"SAC","SACIS",""
"TMX","TIMEX",""
"SCP","SCORPIO POLONIA",""
"EOL","EOLO (EOLA GAYA)",""
"TPW","TOPWELL",""
"STY","STYROX",""
"ROA","ROAD CHAMPS",""
"MRI","MARICART",""
"SUN","SUNNY SMILE",""
"TRL","TRULLALA",""
"AVC","AVC SPAGNA",""
"MUD","MUNDIA",""
"HES","HESMER",""
"BIA","BIANCHI",""
"SNN","SONNY",""
"PAS","PASITO PASITO",""
"TRB","TRAUB",""
"WLT","WALTER & PREDIGER",""
"OUG","OUGEN",""
"ANO","ANSON",""
"NIZ","NIZZI",""
"HOV","HOVER",""
"KRE","KREA",""
"HOW","HOWA",""
"CHC","CHIC 2000",""
"NBR","NEW BRIGHT",""
"SHO","SHOPPER",""
"RUL","RULKE",""
"POT","POT BLACK",""
"GRB","GERBITZ",""
"PLU","PLUTI",""
"SAL","SALDA",""
"IMP","IMPERIAL TOYS",""
"BEA","BEADERY",""
"GD","GD",""
"DAK","DAKIN",""
"NET","NEW TRONIC",""
"FOR","FORSTER",""
"GIV","GIVI",""
"VRC","VERCOR",""
"ASI","ASIA LTD",""
"ROM","ROMAN",""
"PUS","PUSTEFIX",""
"FLM","FALOMIR",""
"PLR","PLASTICART",""
"ANP","ANNA PLUSH",""
"DRY","DRYAD",""
"TOY","TOYSE",""
"SPJ","SUPERJOUET",""
"HEA","HEART FELT COLLECT.",""
"PLH","PLAHO",""
"SUJ","SUPERJOUET",""
"MAU","MANUAL WORKSHOP",""
"FRO","FROR",""
"DAH","DAHLHAUS",""
"BRW","BRAWA",""
"MYD","MY DOLL",""
"RCS","RIZZOLI CS",""
"SCY","SCIENTIFIC TOY",""
"NAN","NANGI",""
"EDU","EDUCA",""
"CRE","CREARREDA",""
"SCT","SCIENTIFIC TOYS",""
"SNK","SUNKID",""
"DES","DESCARTES ITALIA",""
"SIE","SIERSIT",""
"LOO","LOOK UP YOYO",""
"PRD","PRODIGY",""
"MOO","MOOKIE",""
"NAU","NAUTYL",""
"CHT","CHATTOW",""
"ALV","ALIVOLA",""
"PLC","PLACO",""
"GM2","GAMMA 2",""
"DBL","DB-LINE",""
"AUT","GATE DIE CAST",""
"ROD","RODESCHINI",""
"FLO","FALOMIR",""
"REN","RENAM",""
"MOD","MODELPROGRAM",""
"NIO","NINCO",""
"BIZ","BIGANZOLI",""
"DAN","BERENGUER D'ANTON",""
"DNC","D.N.C.",""
"LND","LANARD",""
"INF","INFOMASTER",""
"DIM","DIAMANT",""
"CIT","CITI",""
"TOL","TOY LAND",""
"KOA","KOSAKO",""
"XIA","XIAN JUAN",""
"YOU","YOUNG ARTIST",""
"RUB","RUBIES ITALIA",""
"ORE","OREGON SC",""
"PLD","POLAROID",""
"DLT","DELTON",""
"PGA","PEGASO",""
"VEN","VENTURELLI",""
"APA","AZ.PROD.ARTISTICI",""
"WIZ","WIZARD OF THE COAST",""
"SPL","SPLASH",""
"GEO","GEOMAG PLASTWOOD",""
"JAS","JASMAN",""
"MAY","MAYALBE",""
"EFF","EFFEGI STUDIO",""
"AUX","AUX NATIONS",""
"ING","INFOGRAMES",""
"NWB","NEW BRIGHT",""
"VLA","VILAC",""
"LLO","BERJUAN LLORENS",""
"PIE","PIERO",""
"BED","BELL DOG",""
"MOR","MORAVSKA",""
"CAT","CAT MODELLI",""
"ALC","ALCHEMIA",""
"HOF","HOFMAN",""
"SYC","SYCOMORE",""
"GEN","GENERAL TRADE",""
"BET","BESTEAM",""
"GIP","GIPRON",""
"FER","I GIOCHI DEI GRANDI",""
"GLB","GLOBO AZUL",""
"MUH","MULHOLLAND & BAILE",""
"SCV","SCHIAVI",""
"PRV","PROMOVIDEO",""
"IMG","IMPAG",""
"VED","VEDES",""
"BIO","BINO",""
"GLU","GLUCKSKAFER 0100",""
"GOW","GOWI 3557",""
"DIG","DIGITAL NET",""
"ZOD","ZODIAC",""
"PAG","PAGLIUGHI",""
"GLL","GALLAZZI",""
"PGS","PEGASO",""
"PIN","PINOLINO",""
"NEM","NEMMER",""
"GMB","GAMES BOND",""
"MAC","MAC2",""
"CRR","CARRERA",""
"CMG","CENTR.MERID.GIOCATT.",""
"GAR","GARLANDA",""
"ENE","ENERGY TOYS",""
"MUA","MULTIRAPID",""
"SAN","DELTASAND",""
"FAM","FAMOSA",""
"TOT","TOTUM",""
"BLD","BLDS",""
"BLO","BELLONE",""
"CML","CAMELOT",""
"INC","INCA HAIR",""
"SVN","SEVEN",""
"DMA","DIMA",""
"ROC","ROCCO GIOCATTOLI",""
"INA","INTERAZIONE",""
"BLF","BALLERINI&FRATINI",""
"PPO","PAPO'",""
"ACC","ACACIA",""
"HAB","HABA",""
"DYT","DYNAMICS TOYS",""
"MRQ","MARIQUITA PEREZ",""
"LGL","LEGLER",""
"FOL","FOLKMANIS",""
"MGB","MEGABLOCK",""
"EDC","EDICART",""
"DOU","DOUDOU ET COMPAGNIE",""
"TRS","TROUSSELIER",""
"MYM","MYMY",""
"WPR","WALTER&PREDIGER","DE"
"BRN","STARTRADE",""
"SYL","SYLVANIAN FAMILY",""
"DED","DEDIT",""
"BTS","BEST SALLER","DE"
"LUC","LUCY LOCKET",""
"PAM","PAMATRADE",""
"FUN","FUN BOX",""
"ATM","AUTOMOBLOX",""
"COS","COSMIC GROUP",""
"TY","TY CLEARCO",""
"CRM","CREMS DIDDL",""
"ALA","ALADINE",""
"NIE","NINES ARTESANALS",""
"DJE","DJECO",""
"DRS","DREAMS",""
